velocidade_amb,dist_amb_emer,prioridade_emergencia,tempo_de_resposta
10,26.1725046566048,7,6.2345009313209605
14,10.04987562112089,8,2.4356965173029845
14,8.246211251235321,6,2.1780301787479033
11,32.449961479175904,7,6.8999929962138005
10,28.0178514522438,7,6.60357029044876
10,24.041630560342615,6,5.808326112068523
11,13.45362404707371,6,3.446113463104311
11,36.796738985948195,3,9.69031617926331
8,23.08679276123039,2,10.771698190307598
8,14.035668847618199,6,4.508917211904549
6,22.47220505424423,6,8.49073501808141
5,16.492422502470642,2,11.596969000988256
14,17.26267650163207,10,3.4660966430902955
11,15.0,8,3.727272727272727
14,25.942243542145693,5,5.7060347917350995
14,32.449961479175904,3,7.635708782739415
14,18.439088914585774,9,3.634155559226539
10,1.0,8,1.2
14,17.804493814764857,7,3.5434991163949796
9,21.470910553583888,4,6.771313456351975
14,25.317977802344327,3,6.616853971763476
8,6.324555320336759,8,2.58113883008419
13,2.0,5,2.3076923076923075
11,16.76305461424021,4,5.0478281116800385
13,24.758836806279895,3,6.8090518163507525
11,12.083045973594572,1,12.196917449744468
13,14.317821063276353,10,3.2027417020425157
11,35.38361202590826,6,7.433384004710593
14,25.179356624028344,4,5.597050946289763
14,17.029386365926403,3,5.432769480846629
12,21.93171219946131,2,8.655285366576885
13,18.439088914585774,1,12.836782909936273
9,10.44030650891055,10,3.3200681130912333
14,16.1245154965971,10,3.3035022137995855
13,25.238858928247925,8,4.882901373576604
14,17.029386365926403,8,3.432769480846629
13,7.0710678118654755,8,2.0878565864408425
14,28.844410203711913,6,5.120630029101702
14,26.1725046566048,6,4.738929236657828
14,14.212670403551895,9,3.030381486221699
9,29.410882339705484,8,7.535751631045663
12,33.28663395418648,7,6.547772325697746
14,9.433981132056603,6,2.3477115902938004
12,11.045361017187261,2,6.840893502864543
11,27.16615541441225,2,9.93930098443859
10,22.360679774997898,2,9.47213595499958
14,15.231546211727817,1,12.175935173103973
14,21.587033144922902,8,4.083861877846129
9,9.433981132056603,7,3.096440251568134
11,36.796738985948195,7,7.690316179263308
14,29.0,6,5.142857142857143
11,21.213203435596427,5,5.85694607919935
8,20.0,5,7.0
14,30.01666203960727,4,6.288094577086753
11,29.154759474226502,3,8.300865358950272
7,31.906112267087632,1,19.116032076310752
11,29.732137494637012,10,6.405843180843093
13,18.0,8,3.769230769230769
11,24.186773244895647,7,5.397595135435572
9,18.027756377319946,6,5.006168083848877
13,25.80697580112788,5,5.97030396940429
8,27.65863337187866,5,8.914658342969666
13,25.709920264364882,4,5.955372348363828
11,25.0,4,6.545454545454546
11,18.788294228055936,3,6.41605349601017
13,3.1622776601683795,3,3.48650425541052
12,4.47213595499958,10,1.7453559924999298
10,24.698178070456937,7,5.9396356140913875
9,22.80350850198276,6,6.067446333773947
10,19.4164878389476,6,4.88329756778952
12,26.419689627245813,6,5.403281604540969
10,12.0,4,4.4
12,24.20743687382041,3,7.034572812303401
10,14.560219778561036,3,5.912043955712207
10,25.495097567963924,3,8.099019513592784
12,16.97056274847714,2,7.82842712474619
10,17.029386365926403,2,8.40587727318528
14,26.076809620810597,10,4.7252585172586565
10,9.433981132056603,9,2.8867962264113207
10,28.635642126552707,9,6.727128425310541
14,25.0,8,4.571428571428571
6,29.068883707497267,8,10.689627902499089
7,22.561028345356956,6,7.446008098673416
14,27.459060435491963,5,5.922722919355994
10,14.7648230602334,5,4.95296461204668
10,12.206555615733702,5,4.441311123146741
14,5.0990195135927845,5,2.7284313590846834
10,6.082762530298219,2,6.216552506059644
14,25.079872407968907,1,13.58283891542413
14,19.4164878389476,9,3.7737839769925143
8,29.410882339705484,8,8.35272058492637
10,31.064449134018133,7,7.212889826803627
14,18.439088914585774,7,3.634155559226539
8,18.788294228055936,6,5.697073557013984
14,24.839484696748443,6,4.548497813821206
14,12.083045973594572,6,2.7261494247992246
10,20.12461179749811,6,5.024922359499621
14,20.024984394500787,4,4.860712056357255
14,15.264337522473747,4,4.180619646067678
10,10.04987562112089,3,5.009975124224178
8,12.0,2,8.0
14,19.697715603592208,2,7.813959371941744
14,16.76305461424021,10,3.3947220877486015
9,26.019223662515376,10,6.782049702781195
14,26.476404589747453,10,4.782343512821065
14,19.72308292331602,9,3.8175832747594316
10,12.041594578792296,9,3.4083189157584592
14,14.422205101855956,7,3.060315014550851
14,15.231546211727817,7,3.1759351731039738
7,30.083217912982647,5,10.595205117995041
14,30.886890422961002,4,6.412412917565858
14,36.87817782917155,4,7.268311118453078
10,11.045361017187261,4,4.209072203437453
9,27.0,3,9.0
14,27.784887978899608,2,8.969269711271373
10,20.024984394500787,2,9.004996878900158
14,34.713109915419565,10,5.959015702202795
8,5.0,10,2.25
6,26.019223662515376,8,9.673074554171793
14,12.36931687685298,8,2.7670452681218545
14,21.0,8,4.0
8,12.083045973594572,8,4.020761493398643
8,2.0,6,1.5
14,20.8806130178211,5,4.982944716831586
8,9.848857801796104,5,4.462214450449026
8,18.24828759089466,5,6.562071897723665
14,26.0,4,5.714285714285714
14,19.026297590440446,3,5.718042512920064
5,13.0,3,8.2
8,18.24828759089466,1,14.562071897723666
12,28.861739379323623,10,5.810289896553937
14,16.15549442140351,8,3.307927774486216
14,31.304951684997057,9,5.47213595499958
9,22.561028345356956,8,6.013561854523768
12,18.110770276274835,7,4.018461712712472
14,34.655446902326915,7,5.950778128903845
12,11.180339887498949,6,2.863389981249825
9,27.459060435491963,6,7.102013430109325
14,26.92582403567252,6,4.84654629081036
14,33.301651610693426,6,5.757378801527632
12,22.02271554554524,5,5.6704525909242065
12,38.2099463490856,3,9.368324391514268
9,30.870698080866262,2,11.860155129081392
14,19.72308292331602,1,12.817583274759432
14,16.1245154965971,9,3.3035022137995855
12,38.897300677553446,1,16.482883446258906
10,25.059928172283335,10,6.011985634456667
8,6.4031242374328485,9,2.600781059358212
14,14.035668847618199,9,3.005095549659743
9,16.0,8,4.555555555555555
6,28.0178514522438,8,10.3392838174146
14,18.384776310850235,7,3.626396615835748
8,21.02379604162864,5,7.25594901040716
14,27.294688127912362,4,5.8992411611303375
12,32.526911934581186,3,8.421151989096863
7,26.1725046566048,2,12.477858473315656
10,24.73863375370596,2,9.947726750741193
9,26.627053911388696,2,10.917123091419711
12,12.36931687685298,9,3.0615528128088303
14,25.179356624028344,9,4.597050946289763
14,23.769728648009426,8,4.395675521144204
11,7.280109889280518,8,2.323656343505549
12,12.529964086141668,8,3.088327347690278
8,18.027756377319946,8,5.5069390943299865
14,20.0,7,3.857142857142857
14,17.88854381999832,7,3.5555062599997598
12,28.284271247461902,6,5.714045207910317
14,27.073972741361768,5,5.86771039162311
14,19.235384061671343,4,4.747912008810192
12,31.144823004794873,2,10.190803834132478
11,27.586228448267445,2,10.01567789968499
8,28.0178514522438,1,17.00446286306095
13,35.4682957019364,9,6.456660877220984
13,24.839484696748443,5,5.821459184115145
12,16.64331697709324,9,3.773886162848873
12,27.459060435491963,5,6.576510072581994
11,16.278820596099706,7,3.959785562927219
9,14.317821063276353,5,5.181738014061412
12,12.36931687685298,5,4.061552812808831
13,13.341664064126334,5,4.052563702173282
13,31.906112267087632,4,6.90863265647502
11,17.46424919657298,2,8.175318035740542
13,18.384776310850235,2,7.82842712474619
13,13.601470508735444,2,7.092533924420838
12,17.029386365926403,1,12.838231060987734
12,24.698178070456937,1,14.116363011742823
7,26.476404589747453,1,17.56468702564213
14,14.560219778561036,8,3.080031396937291
14,18.439088914585774,4,4.634155559226539
8,18.027756377319946,8,5.5069390943299865
13,35.35533905932738,6,6.439282932204212
14,4.242640687119285,6,1.6060915267313263
14,8.06225774829855,6,2.151751106899793
13,27.784887978899608,4,6.27459815059994
14,22.20360331117452,4,5.171943330167789
14,11.045361017187261,4,3.577908716741037
9,24.758836806279895,3,8.501963734728864
14,16.1245154965971,3,5.303502213799586
8,30.610455730027933,3,10.652613932506984
14,20.12461179749811,1,12.87494454249973
14,21.400934559032695,1,13.057276365576099
14,30.886890422961002,1,14.412412917565858
14,13.416407864998739,6,2.91662969499982
12,15.0,2,7.5
14,12.206555615733702,10,2.743793659390529
13,29.0,10,5.461538461538462
14,9.433981132056603,10,2.3477115902938004
13,21.633307652783937,7,4.328201177351374
13,25.612496949731394,6,4.940384146112522
14,14.317821063276353,6,3.0454030090394792
10,19.1049731745428,6,4.82099463490856
14,27.65863337187866,4,5.951233338839809
14,22.825424421026653,4,5.260774917289522
14,14.142135623730951,4,4.020305089104422
8,16.492422502470642,3,7.123105625617661
